q1,q2,q3,q4,q5,q6,q7,q41,q66,q77,q85,q86
5,1,3,2,C,1.57,70.31,3,4,5,5,2
4,2,,1,A  DE,,,1,3,8,4,5
4,2,2,1,,1.7,61.69,1,3,6,4,5
4,2,2,1,,1.75,60.33,,3,2,2,4
3,2,2,1,A  DE,1.9,88.91,2,3,2,3,4
4,1,2,2,B  E,,,1,3,8,1,5
4,2,2,1,,1.73,84.82,2,4,5,4,4
3,2,2,1,,1.6,49.9,1,2,8,1,5
4,2,2,1,,1.78,61.24,1,2,4,3,6
4,1,2,1,D,1.47,54.43,1,3,3,5,2
4,1,2,1,,,,2,4,1,5,3
4,1,2,1,A,,,1,2,6,5,3
4,2,2,1,E,1.98,60.78,1,1,2,1,2
4,2,2,1,A,1.63,44.45,1,3,5,1,5
4,2,2,1,B  E,1.73,64.86,1,4,8,3,5
4,1,2,1,A,1.63,59.88,1,4,8,4,2
4,2,2,1,A,1.65,47.63,1,2,8,2,5
4,2,2,1,,1.7,52.16,1,2,8,1,3
4,2,2,1,,1.68,58.97,1,2,8,1,3
4,2,2,1,,1.78,75.75,2,4,8,3,3
4,2,2,1,A,,,1,2,8,5,6
4,1,2,2,E,1.55,86.18,1,4,5,4,5
4,2,2,1,E,1.65,49.9,,2,8,2,1
4,2,2,1,,1.68,77.11,1,4,7,4,2
4,1,2,1,A,,,1,3,3,4,4
4,2,2,1,,1.65,84.82,1,4,4,2,5
4,2,2,2,E,1.63,49.9,1,3,6,1,5
4,2,2,1,,1.65,95.26,1,4,7,2,6
4,2,2,1,,1.68,53.98,1,2,8,1,3
4,1,2,1,E,1.6,48.08,1,3,7,4,5
4,2,2,1,A,1.6,71.22,1,3,8,2,4
4,2,1,1,,,,1,5,4,1,4
3,2,1,1,C,1.83,64.41,,3,6,3,2
3,2,1,1,E,1.68,51.71,1,2,5,2,5
3,1,1,2,BC,1.52,49.9,1,3,4,1,1
3,2,1,2,C,1.8,81.65,2,4,7,4,3
3,2,1,1,,1.65,58.97,1,3,4,2,4
3,2,1,,A,1.73,47.63,1,3,8,1,
3,2,1,1,,1.78,90.72,1,4,8,2,3
3,2,1,1,E,1.68,54.43,1,3,6,3,5
3,2,1,2,C,1.6,51.71,1,3,5,1,2
3,2,1,1,E,1.57,45.81,1,3,4,2,4
3,1,1,1,E,,,1,4,1,2,5
3,2,1,1,,1.7,72.58,1,4,1,3,4
3,2,1,1,E,1.73,74.39,1,3,3,1,4
3,2,1,2,C E,1.83,63.5,1,2,6,3,5
3,2,1,2,A,1.55,89.36,2,1,8,4,1
3,1,1,2,A C E,1.6,53.07,2,,1,4,1
3,2,1,1,E,,,1,,4,1,6
3,2,1,2,B,1.68,58.97,1,3,5,1,5
3,1,1,1,,1.52,58.97,,3,4,3,6
3,1,1,1,,1.6,63.5,1,4,6,3,4
3,1,1,1,D,1.6,63.5,1,3,5,1,5
7,2,4,2,C,1.9,120.2,1,1,1,,
6,1,4,1,E,1.57,83.46,1,,,,
6,1,4,1,E,1.57,55.79,1,2,7,5,4
6,1,4,1,,1.6,81.65,1,4,1,5,3
6,2,4,2,,1.85,68.04,1,3,8,3,3
7,2,4,1,,,,2,,,,
6,1,4,2,E,1.68,70.31,1,4,,,
7,1,4,1,E,1.55,56.7,1,,,,
7,2,4,1,,1.73,100.25,1,,,,
,,,,,,,,3,1,2,1
7,2,4,1,A,,,1,,,,
6,2,4,2,C,,,2,,,,
